Ar,Medeltemperatur [*C]
1756.0,-0.008493150684931507
1757.0,4.7504109589041095
1758.0,5.759726027397267
1759.0,4.583835616438354
1760.0,6.1624657534246765
1761.0,5.110136986301372
1762.0,6.424657534246584
1763.0,5.692602739726033
1764.0,4.93616438356164
1765.0,6.18794520547946
1766.0,5.705205479452053
1767.0,6.436986301369861
1768.0,5.117534246575338
1769.0,5.147945205479444
1770.0,5.272602739726025
1771.0,5.596712328767126
1772.0,4.65232876712328
1773.0,5.04465753424657
1774.0,7.3452054794520585
1775.0,5.195068493150683
1776.0,7.633698630136991
1777.0,6.227671232876723
1778.0,5.289041095890404
1779.0,5.626027397260278
1780.0,7.734246575342467
1781.0,5.613972602739736
1782.0,6.51041095890412
1783.0,4.750958904109578
1784.0,6.8219178082191885
1785.0,4.260821917808222
1786.0,4.415068493150689
1787.0,4.2208219178082205
1788.0,5.539178082191772
1789.0,4.4441095890411
1790.0,6.783013698630136
1791.0,6.126575342465759
1792.0,7.3884931506849245
1793.0,5.720000000000004
1794.0,6.270410958904112
1795.0,7.566301369863007
1796.0,4.693424657534247
1797.0,6.221369863013696
1798.0,6.7613698630137
1799.0,6.88575342465752
1800.0,4.053424657534253
1801.0,4.917808219178086
1802.0,5.803287671232879
1803.0,5.472328767123287
1804.0,4.6556164383561685
1805.0,4.687671232876715
1806.0,3.986849315068498
1807.0,5.3115068493150694
1808.0,5.481643835616439
1809.0,5.292328767123286
1810.0,4.668219178082197
1811.0,5.037260273972601
1812.0,6.577260273972592
1813.0,3.9484931506849335
1814.0,5.725205479452054
1815.0,4.2758904109589055
1816.0,5.738356164383555
1817.0,4.857534246575347
1818.0,5.584657534246577
1819.0,6.581917808219179
1820.0,6.910958904109583
1821.0,4.649041095890422
1822.0,5.5013698630137045
1823.0,7.545479452054787
1824.0,5.655342465753427
1825.0,6.592876712328769
1826.0,6.1958904109589
1827.0,7.1786301369862935
1828.0,5.825205479452052
1829.0,5.345479452054792
1830.0,3.4553424657534255
1831.0,4.9446575342465735
1832.0,5.350684931506848
1833.0,5.462191780821919
1834.0,5.701095890410961
1835.0,6.649589041095887
1836.0,5.471232876712329
1837.0,4.925205479452057
1838.0,4.730410958904108
1839.0,3.823287671232878
1840.0,5.191506849315067
1841.0,5.17643835616438
1842.0,5.568767123287672
1843.0,6.3553424657534245
1844.0,5.694246575342466
1845.0,4.020273972602739
1846.0,4.999452054794521
1847.0,6.412602739726032
1848.0,5.449589041095887
1849.0,5.581643835616438
1850.0,4.989041095890409
1851.0,5.323013698630135
1852.0,5.947945205479454
1853.0,5.973698630136987
1854.0,5.46931506849315
1855.0,6.4293150684931515
1856.0,4.826301369863011
1857.0,4.597260273972607
1858.0,6.64493150684932
1859.0,6.941917808219182
1860.0,6.62520547945206
1861.0,4.93068493150685
1862.0,5.528219178082191
1863.0,4.646027397260275
1864.0,6.747397260273974
1865.0,4.552054794520549
1866.0,5.482739726027397
1867.0,5.388493150684936
1868.0,3.23095890410959
1869.0,6.450958904109586
1870.0,5.5956164383561635
1871.0,5.089589041095889
1872.0,3.7726027397260253
1873.0,6.874794520547943
1874.0,6.3772602739726025
1875.0,5.903013698630138
1876.0,4.186849315068494
1877.0,4.776438356164385
1878.0,4.567397260273974
1879.0,6.02739726027397
1880.0,4.598630136986304
1881.0,5.488219178082187
1882.0,3.9027397260273973
1883.0,6.452602739726027
1884.0,5.727671232876711
1885.0,5.710958904109587
1886.0,4.8386301369863
1887.0,5.786301369863017
1888.0,5.744657534246568
1889.0,3.693150684931508
1890.0,5.546027397260275
1891.0,6.047397260273973
1892.0,5.8087671232876765
1893.0,4.727945205479456
1894.0,4.662739726027397
1895.0,6.6501369863013675
1896.0,5.352054794520547
1897.0,6.43479452054795
1898.0,6.044383561643835
1899.0,6.086301369863015
1900.0,5.331506849315067
1901.0,5.302465753424659
1902.0,6.16739726027397
1903.0,3.8213698630136967
1904.0,6.0090410958904155
1905.0,5.190410958904109
1906.0,5.991780821917812
1907.0,6.433972602739729
1908.0,5.326301369863011
1909.0,5.595342465753431
1910.0,4.980273972602742
1911.0,6.536986301369863
1912.0,6.7279452054794575
1913.0,5.602191780821921
1914.0,6.541917808219181
1915.0,7.072876712328762
1916.0,4.304931506849314
1917.0,5.5087671232876705
1918.0,5.064931506849317
1919.0,5.910410958904109
1920.0,5.176164383561643
1921.0,6.64520547945206
1922.0,6.558904109589042
1923.0,4.884109589041098
1924.0,4.840000000000003
1925.0,5.577808219178079
1926.0,5.98164383561643
1927.0,5.510410958904109
1928.0,5.440273972602737
1929.0,5.159452054794519
1930.0,5.418630136986303
1931.0,7.238630136986301
1932.0,4.846027397260276
1933.0,6.349041095890417
1934.0,6.050136986301365
1935.0,7.808219178082193
1936.0,6.593150684931504
1937.0,6.717808219178077
1938.0,6.871232876712328
1939.0,7.6854794520548015
1940.0,6.766849315068498
1941.0,4.457260273972603
1942.0,4.332876712328768
1943.0,4.075342465753424
1944.0,7.272602739726023
1945.0,6.657260273972603
1946.0,6.48630136986301
1947.0,6.1838356164383494
1948.0,5.736164383561646
1949.0,6.561095890410965
1950.0,7.4923287671232845
1951.0,6.49068493150685
1952.0,6.4068493150684915
1953.0,5.153424657534248
1954.0,7.1723287671232905
1955.0,5.758630136986296
1956.0,5.527945205479456
1957.0,4.505753424657535
1958.0,5.856712328767126
1959.0,5.197260273972604
1960.0,7.096164383561646
1961.0,5.913698630136986
1962.0,6.872876712328765
1963.0,5.006849315068494
1964.0,5.314246575342466
1965.0,6.03945205479452
1966.0,5.02219178082192
